* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
269.086853	61.733275
273.000811	61.754641
276.971700	61.778032
281.000346	61.801669
285.087590	61.825105
289.234284	61.848702
293.441294	61.872184
297.709496	61.894751
302.039780	61.915895
306.433050	61.936451
310.890221	61.955624
315.412224	61.975032
320.000000	61.994128
324.654507	62.013502
329.376716	62.028558
334.167610	62.042624
339.028190	62.056894
343.959469	62.063756
348.962474	62.067224
354.038251	62.070741
359.187855	62.074310
364.412363	62.077930
369.712863	62.081603
375.090460	62.085330
380.546277	62.089111
386.081450	62.092947
391.697134	62.096838
397.394500	62.100787
403.174736	62.104792
409.039048	62.102683
414.988657	62.099721
421.024807	62.096717
427.148753	62.093668
433.361775	62.090576
439.665167	62.087438
446.060244	62.084255
452.548340	62.081026
459.130807	62.077749
465.809019	62.074425
472.584367	62.071053
479.458265	62.067631
486.432146	62.064160
493.507464	62.059562
500.685695	62.050961
507.968337	62.042236
515.356906	62.033383
522.852945	62.024402
530.458016	62.013271
538.173706	61.995748
546.001623	61.977970
553.943399	61.960418
562.000691	61.942764
570.175180	61.924052
578.468569	61.902952
586.882588	61.880587
595.418991	61.854159
604.079560	61.827696
612.866100	61.801137
621.780442	61.766838
630.824447	61.731557
640.000000	61.696245
649.309014	61.660904
658.753431	61.625582
668.335221	61.590335
678.056380	61.550236
687.918938	61.507879
697.924949	61.469838
708.076501	61.428040
718.375711	61.380804
728.824726	61.338444
739.425726	61.296084
750.180921	61.256780
761.092554	61.218097
772.162900	61.168997
783.394268	61.126634
794.789000	61.084269
806.349472	61.041904
818.078095	60.999538
829.977315	60.957172
842.049613	60.915853
854.297507	60.880540
866.723550	60.864603
879.330334	60.850514
892.120489	60.836221
905.096680	60.842546
918.261614	60.854216
931.618037	60.866055
945.168733	60.878702
958.916529	60.899740
972.864291	60.921104
987.014928	60.956343
1001.371391	61.005081
1015.936673	61.059830
1030.713812	61.130422
1045.705890	61.201010
1060.916032	61.271655
1076.347412	61.342209
1092.003245	61.417501
1107.886798	61.512646
1124.001383	61.597867
1140.350359	61.683088
1156.937137	61.768311
1173.765175	61.853536
1190.837983	61.938761
1208.159120	62.027225
1225.732199	62.111202
1243.560885	62.195181
1261.648894	62.279667
1280.000000	62.364877
1298.618029	62.450088
1317.506863	62.549927
1336.670442	62.620513
1356.112761	62.720385
1375.837875	62.804900
1395.849898	62.888860
1416.153002	62.972823
1436.751422	63.056787
1457.649452	63.146450
1478.851452	63.224722
1500.361842	63.308692
1522.185107	63.402099
1544.325799	63.487317
1566.788535	63.582535
1589.577999	63.666502
1612.698944	63.772432
1636.156190	63.878301
1659.954630	63.984215
1684.099226	64.090107
1708.595013	64.196002
1733.447100	64.301921
1758.660669	64.407798
1784.240977	64.513720
1810.193360	64.619601
1836.523229	64.725505
1863.236074	64.853329
1890.337467	64.962369
1917.833058	65.087086
1945.728583	65.214906
1974.029857	65.364649
2002.742782	65.502540
2031.873347	65.642236
2061.427625	65.794569
2091.411780	65.941751
2121.832065	66.091530
2152.694823	66.254520
2184.006490	66.422459
2215.773596	66.584666
2248.002765	66.734408
2280.700718	66.884194
2313.874274	67.050361
2347.530351	67.183696
2381.675966	67.342377
2416.318240	67.505153
2451.464399	67.634409
2487.121769	67.802346
2523.297789	67.954414
2560.000000	68.094356
2597.236057	68.232005
2635.013726	68.359831
2673.340883	68.487659
2712.225522	68.615489
2751.675750	68.743321
2791.699796	68.871155
2832.306004	68.955131
2873.502844	69.037764
2915.298905	69.108332
2957.702904	69.143739
3000.723683	69.163765
3044.370214	69.142706
3088.651599	69.119941
3133.577071	69.077225
3179.155999	69.024314
